"video_id","author","published","text","clean_text","sentiment_label","sentiment_score","sentiment_analysis_at","extracted_at"
"SzXMacu80o8","@lockyfarrell","4 minggu yang lalu","- kampanye bahasnya AI
- jalan masa jabatan pun masih bahas AI
- ngide buat pake AI untuk ngatasi kemacetan mudik lebaran
- bikin video ucapan idul fitri pake AI, promptnya film Dune *harusnya kena tuntut hak cipta njir
- AI this AI that
- and then animasi ""jumbo"" tayang di bioskop dengan 4 juta penonton
- out of nowhere ""ini menjadi era baru industri animasi indonesia 🗣️""","kampanye bahasnya AI jalan masa jabatan pun masih bahas AI ngide buat pake AI untuk ngatasi kemacetan mudik lebaran bikin video ucapan idul fitri pake AI, promptnya film Dune harusnya kena tuntut hak cipta njir AI this AI that and then animasi jumbo tayang di bioskop dengan 4 juta penonton out of nowhere ini menjadi era baru industri animasi indonesia","negative","0.9534967541694641","2025-05-19 10:08:02","2025-05-19 10:05:35"
"SzXMacu80o8","@happyperson52dhsh","3 minggu yang lalu","dalam satu frame pidatonya saling bertentangan =
1) mendukung animasi.
2) ketinggalan kalau tidak pakai Al.
Dari sini kita bisa simpulkan, pentingnya pendidikan gratis dibanding makan siang gratis.","dalam satu frame pidatonya saling bertentangan 1 mendukung animasi. 2 ketinggalan kalau tidak pakai Al. Dari sini kita bisa simpulkan, pentingnya pendidikan gratis dibanding makan siang gratis.","positive","0.629012942314148","2025-05-19 10:08:02","2025-05-19 10:05:35"
"SzXMacu80o8","@HannaA-y3j","3 minggu yang lalu","Gila komentarnya ga ada yang positif. Melihat kolom komentar ini saya merasa ADA HARAPAN UNTUK INDONESIA!","Gila komentarnya ga ada yang positif. Melihat kolom komentar ini saya merasa ADA HARAPAN UNTUK INDONESIA!","negative","0.999138355255127","2025-05-19 10:08:02","2025-05-19 10:05:35"
"SzXMacu80o8","@rivauljavier8396","2 minggu yang lalu","Dari isi video yg beliau katakan, saya bisa menyimpulkan bahwasanya jabatan, kekuasaan dan kekayaan mampu mematikan rasa malu. ❤","Dari isi video yg beliau katakan, saya bisa menyimpulkan bahwasanya jabatan, kekuasaan dan kekayaan mampu mematikan rasa malu.","positive","0.6610689163208008","2025-05-19 10:08:02","2025-05-19 10:05:35"
"SzXMacu80o8","@nidapriatna4070","4 minggu yang lalu","Terima kasih sudah memberi contoh bahwa sekolah itu penting, nilai itu patut diperjuangkan, dan perlunya berdikari diatas kaki sendiri, bukan dibantu cari kerja mati-matian oleh orangtua.","Terima kasih sudah memberi contoh bahwa sekolah itu penting, nilai itu patut diperjuangkan, dan perlunya berdikari diatas kaki sendiri, bukan dibantu cari kerja mati matian oleh orangtua.","positive","0.9793471693992615","2025-05-19 10:08:02","2025-05-19 10:05:35"
"SzXMacu80o8","@aksaniskandar3507","3 minggu yang lalu","Dari video ini kita bisa menyimpulkan bahwa pendidikan gratis lebih penting dari makan siang gratis","Dari video ini kita bisa menyimpulkan bahwa pendidikan gratis lebih penting dari makan siang gratis","positive","0.9489712715148926","2025-05-19 10:08:02","2025-05-19 10:05:35"
"SzXMacu80o8","@ihzamahendra926","4 minggu yang lalu (diedit)","Gibran Karbit & Perilaku Hipokrit (kopas)

>Mengindoktrinasi anak-anak untuk mendorong pembuatan animasi menggunakan AI untuk perkembangan teknologi.

>Tidak peduli dengan akibat dan nasib animator Indonesia.

>Ada satu film animasi Indonesia yang sukses dan terkenal di mancanegara dan menjadi viral.

>Memutuskan untuk mengoceh dan membuat video tentang beberapa hal buruk tentang sektor animasi kita.

>Blud benar-benar mengatakan “Era baru bagi industri animasi Indonesia”.","Gibran Karbit Perilaku Hipokrit kopas Mengindoktrinasi anak anak untuk mendorong pembuatan animasi menggunakan AI untuk perkembangan teknologi. Tidak peduli dengan akibat dan nasib animator Indonesia. Ada satu film animasi Indonesia yang sukses dan terkenal di mancanegara dan menjadi viral. Memutuskan untuk mengoceh dan membuat video tentang beberapa hal buruk tentang sektor animasi kita. Blud benar benar mengatakan Era baru bagi industri animasi Indonesia .","negative","0.9864774942398071","2025-05-19 10:08:02","2025-05-19 10:05:35"
"SzXMacu80o8","@qlaw_11","2 minggu yang lalu","Kalau kita bicara soal substansi, video Gibran tentang bonus demografi sebenarnya angkat isu penting. Tapi publik bukan cuma menilai isi, mereka juga melihat siapa yang bicara dan bagaimana ia menyampaikannya.

Sayangnya, justru di situ titik lemahnya. Gibran terlihat sedang membaca naskah, tanpa kedalaman rasa atau pemahaman yang terasa natural. Alih-alih menginspirasi, monolog itu terkesan seperti presentasi PR dari tim media, bukan refleksi pribadi seorang pemimpin masa depan.

Lebih janggal lagi, angka views dan likes-nya mendadak melesat tinggi tapi reaksi publik minim. Komentar pun tidak setara dengan ""antusiasme"" yang tampak dari angka. Bagi publik yang kritis, itu bukan tanda berhasil, tapi sinyal pencitraan yang dipaksakan.

Poinnya bukan mau merendahkan, tapi kalau ingin dianggap serius bicara soal masa depan bangsa, maka komunikasi itu harus jujur, matang, dan menyentuh. Bukan sekadar bungkus bagus untuk konten yang terasa kosong.","Kalau kita bicara soal substansi, video Gibran tentang bonus demografi sebenarnya angkat isu penting. Tapi publik bukan cuma menilai isi, mereka juga melihat siapa yang bicara dan bagaimana ia menyampaikannya. Sayangnya, justru di situ titik lemahnya. Gibran terlihat sedang membaca naskah, tanpa kedalaman rasa atau pemahaman yang terasa natural. Alih alih menginspirasi, monolog itu terkesan seperti presentasi PR dari tim media, bukan refleksi pribadi seorang pemimpin masa depan. Lebih janggal lagi, angka views dan likes nya mendadak melesat tinggi tapi reaksi publik minim. Komentar pun tidak setara dengan antusiasme yang tampak dari angka. Bagi publik yang kritis, itu bukan tanda berhasil, tapi sinyal pencitraan yang dipaksakan. Poinnya bukan mau merendahkan, tapi kalau ingin dianggap serius bicara soal masa depan bangsa, maka komunikasi itu harus jujur, matang, dan menyentuh. Bukan sekadar bungkus bagus untuk konten yang terasa kosong.","negative","0.9957553148269653","2025-05-19 10:08:02","2025-05-19 10:05:35"
"SzXMacu80o8","@audiraafian","3 minggu yang lalu","Salut sama editornya kuat ngedit video ini sambil liat muka doi selama berjam jam","Salut sama editornya kuat ngedit video ini sambil liat muka doi selama berjam jam","positive","0.9990031123161316","2025-05-19 10:08:02","2025-05-19 10:05:35"
"SzXMacu80o8","@muhammadtoha9094","4 minggu yang lalu","Kosongnya natural","Kosongnya natural","positive","0.9813857674598694","2025-05-19 10:08:02","2025-05-19 10:05:35"
